remove_source,118,145

Cell,Node
1,130
2,126
3,126
4,126
5,127
6,127
7,127
8,127
9,127
10,127
11,127
12,127
13,127
14,127
15,125
16,125
17,125
18,125
19,125
20,125
21,125
22,125
23,124
24,124
25,128
26,128
27,132
28,132
29,132
30,132
31,132
32,132
33,132
34,132
35,133
36,133
37,133
38,133
39,133
40,133
41,133
42,133
43,133
44,133
45,133
46,135
47,135
48,135
49,137
50,137
51,137
52,137
53,137
54,137
55,137
56,140
57,140
58,140
59,134
60,134
61,134
62,139
63,143
64,143
65,143
66,146
67,136
68,146
69,139
70,136
71,146
72,136
73,146
74,136
75,146
76,146
77,146
78,142
79,138
80,147
81,142
82,142
83,147
84,142
85,138
86,147
87,148
88,148
89,141
90,148
91,145
92,141
93,145
94,141
95,144
96,148
97,144
98,144
99,148
100,149
101,149
102,149
103,149
104,149
105,149
106,149
107,149
108,149
109,149
110,150
111,150
112,150
113,150
114,150
115,150
116,150
117,151
118,151
119,151
120,151
121,151
122,151
123,151
124,151
125,151
126,151
127,151
128,151
129,152
130,152
131,152
132,152
133,152
134,152
135,152
136,152
137,152
138,152
139,152
140,152
141,93
142,93
143,93
144,93
145,93
146,93
147,93
148,93
149,93
150,93
151,93
152,93
153,93
154,93
155,93
156,93
157,94
158,94
159,94
160,94
161,94
162,94
163,94
164,94
165,94
166,95
167,95
168,95
169,95
170,95
171,95
172,95
173,95
174,95
175,95
176,95
177,95
178,95
179,96
180,96
181,96
182,96
183,96
184,96
185,96
186,96
187,96
188,96
189,96
190,97
191,97
192,97
193,97
194,97
195,97
196,97
197,97
198,97
199,97
200,97
201,97
202,98
203,97
204,98
205,98
206,98
207,98
208,98
209,98
210,98
211,98
212,98
213,98
214,98
215,98
216,98
217,98
218,98
219,98
220,98
221,98
222,99
223,99
224,99
225,99
226,99
227,99
228,99
229,99
230,99
231,99
232,99
233,99
234,99
235,99
236,99
237,100
238,100
239,100
240,100
241,100
242,100
243,100
244,100
245,100
246,102
247,102
248,102
249,102
250,102
251,102
252,102
253,102
254,104
255,104
256,104
257,104
258,104
259,104
260,107
261,107
262,107
263,107
264,107
265,107
266,110
267,110
268,110
269,110
270,110
271,110
272,101
273,113
274,101
275,101
276,101
277,113
278,101
279,101
280,101
281,101
282,101
283,101
