year	1	2	3	4	5
1	300	300	300	300	300
2	390	390	390	450	390
3	480	480	480	600	480
4	570	570	570	750	570
5	660	660	660	900	660
6	750	750	750	1050	750
7	840	840	840	1200	840
8	930	930	930	1350	930
9	1020	1020	1020	1500	1020
10	1110	1110	1110	1650	1110
11	1200	1200	1200	1800	1200
12	1290	1290	1290	1950	1290
13	1380	1380	1380	2100	1380
14	1470	1470	1470	2250	1470
15	1560	1560	1560	2400	1560
16	1650	1650	1650	2550	1650
17	1740	1740	1740	2700	1740
18	1830	1830	1830	2850	1830
19	1920	1920	1920	3000	1920
20	2010	2010	2010	3150	2010
21	2100	2100	2100	3300	2100
22	2190	2190	2190	3450	2190
23	2280	2280	2280	3600	2280
24	2370	2370	2370	3750	2370
25	2460	2460	2460	3900	2460
26	2550	2550	2550	4050	2550
27	2640	2640	2640	4200	2640
28	2730	2730	2730	4350	2730
29	2820	2820	2820	4500	2820
30	2910	2910	2910	4650	2910
31	3000	3000	3000	4800	3000
32	3090	3090	3090	4950	3090
33	3180	3180	3180	5100	3180
34	3270	3270	3270	5250	3270
35	3360	3360	3360	5400	3360
36	3450	3450	3450	5550	3450
37	3540	3540	3540	5700	3540
38	3630	3630	3630	5850	3630
39	3720	3720	3720	6000	3720
40	3810	3810	3810	6150	3810
41	3900	3900	3900	6300	3900
42	3990	3990	3990	6450	3990
43	4080	4080	4080	6600	4080
44	4170	4170	4170	6750	4170
45	4260	4260	4260	6900	4260
46	4350	4350	4350	7050	4350
47	4440	4440	4440	7200	4440
48	4530	4530	4530	7350	4530
49	4620	4620	4620	7500	4620
50	4710	4710	4710	7650	4710
