year	1	2	3	4	5
1	1778	1167	1167	1778	1778
2	3556	2333	2333	3556	3556
3	5333	3500	3500	5333	5333
4	7111	4667	4667	7111	7111
5	8889	5833	5833	8889	8889
6	10667	7000	7000	10667	10667
7	12444	8167	8167	12444	12444
8	14222	9333	9333	14222	14222
9	16000	10500	10500	16000	16000
10	17778	11667	11667	17778	17778
11	19556	12833	12833	19556	19556
12	21333	14000	14000	21333	21333
13	23111	15167	15167	23111	23111
14	24889	16333	16333	24889	24889
15	26667	17500	17500	26667	26667
16	28444	18667	18667	28444	28444
17	30222	19833	19833	30222	30222
18	32000	21000	21000	32000	32000
19	32000	21000	21000	32000	32000
20	32000	21000	21000	32000	32000
21	32000	21000	21000	32000	32000
22	32000	21000	21000	32000	32000
23	32000	21000	21000	32000	32000
24	32000	21000	21000	32000	32000
25	32000	21000	21000	32000	32000
26	32000	21000	21000	32000	32000
27	32000	21000	21000	32000	32000
28	32000	21000	21000	32000	32000
29	32000	21000	21000	32000	32000
30	32000	21000	21000	32000	32000
31	32000	21000	21000	32000	32000
32	32000	21000	21000	32000	32000
33	31389	21000	20833	31389	32000
34	30778	20353	20667	30778	32000
35	30167	19706	20500	30167	32000
36	29556	19059	20333	29556	32000
37	28944	18412	20167	28944	32000
38	28333	17765	20000	28333	32000
39	27722	17118	19833	27722	32000
40	27111	16471	19667	27111	32000
41	26500	15824	19500	26500	32000
42	25889	15176	19333	25889	32000
43	25278	14529	19167	25278	32000
44	24667	13882	19000	24667	32000
45	24056	13235	18833	24056	32000
46	23444	12588	18667	23444	32000
47	22833	11941	18500	22833	32000
48	22222	11294	18333	22222	32000
49	21611	10647	18167	21611	32000
50	21000	10000	18000	21000	32000
