year	affected cell IDs (list)
1	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
2	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
3	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
4	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
5	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
6	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
7	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
8	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
9	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
10	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
11	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
12	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
13	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
14	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
15	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
16	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
17	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
18	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
