remove_source,118,145

Cell,Node
1,126
2,127
3,132
4,133
5,133
6,133
7,135
8,137
9,146
10,139
11,147
12,142
13,148
14,145
15,141
16,141
17,148
18,149
19,149
20,149
21,149
22,150
23,151
24,151
25,152
26,152
27,152
28,152
29,93
30,93
31,93
32,94
33,94
34,95
35,95
36,96
37,96
38,96
39,96
40,97
41,97
42,97
43,97
44,97
45,98
46,98
47,98
48,98
49,98
50,99
51,99
52,99
53,100
54,100
55,100
56,102
57,102
58,104
59,104
60,104
61,107
62,110
63,110
64,101
65,101
66,101
67,101
68,101
69,101
70,101
71,106
72,101
73,103
74,114
75,103
76,103
77,114
78,103
79,106
80,106
81,103
82,106
83,103
84,106
85,109
86,105
87,115
88,105
89,115
90,105
91,105
92,115
93,109
94,109
95,105
96,111
97,108
98,111
99,108
100,111
101,108
102,116
103,111
104,111
105,111
106,112
107,108
108,112
109,112
110,112
111,117
112,117
113,25
114,25
115,25
116,26
117,26
118,26
119,28
120,28
121,28
122,28
123,28
124,27
125,27
126,30
127,30
128,33
129,37
130,37
131,39
132,44
133,32
134,43
135,39
136,32
137,44
138,44
139,32
140,49
141,49
142,49
143,35
144,49
145,49
146,47
147,49
148,47
149,29
150,29
151,47
152,29
153,29
154,38
155,31
156,29
157,48
158,31
159,31
160,41
161,31
162,31
163,52
164,41
165,31
166,31
167,34
168,41
169,34
170,50
171,34
172,52
173,45
174,34
175,34
176,55
177,50
178,36
179,36
180,55
181,45
182,40
183,36
184,55
185,55
186,40
187,56
188,56
189,56
190,57
191,57
192,56
193,57
194,57
195,57
196,60
197,57
198,60
199,60
200,53
201,53
202,53
203,53
204,53
205,62
206,62
207,53
208,53
209,53
210,53
211,63
212,59
213,53
214,62
215,53
216,59
217,64
218,64
219,64
220,59
221,58
222,64
223,59
224,58
225,64
226,64
227,64
228,61
229,64
230,68
231,65
232,68
233,65
234,65
235,65
236,65
237,67
238,67
239,67
240,67
241,67
242,67
243,67
244,66
245,66
246,66
247,1
248,1
249,67
250,66
251,3
252,70
253,70
254,70
255,66
256,70
257,66
258,1
259,75
260,6
261,5
262,5
263,2
264,75
265,74
266,69
267,7
268,6
269,6
270,5
271,5
272,2
273,77
274,74
275,5
276,5
277,5
278,3
279,3
280,79
281,77
282,72
283,69
284,9
285,9
286,4
287,77
288,77
289,72
290,77
291,79
292,77
293,77
294,72
295,78
296,76
297,87
298,88
299,83
300,89
301,88
302,80
303,89
304,89
305,85
306,82
307,90
308,82
309,17
310,85
311,17
312,90
313,90
314,85
315,19
316,86
317,22
318,19
319,86
320,19
321,22
322,23
323,15
324,15
325,15
326,15
327,15
328,15
329,24
330,24
