year	1	2	3	4	5
1	0.4	0.02	0	0.06	0.32
2	0.4	0.02	0	0.06	0.32
3	0.4	0.02	0	0.06	0.32
4	0.4	0.02	0	0.06	0.32
5	0.4	0.02	0	0.06	0.32
6	0.4	0.02	0	0.06	0.32
7	0.39	0.02	0	0.06	0.32
8	0.39	0.02	0	0.06	0.31
9	0.39	0.02	0	0.06	0.31
10	0.39	0.02	0	0.06	0.31
11	0.39	0.02	0	0.06	0.31
12	0.39	0.02	0	0.06	0.31
13	0.39	0.02	0	0.06	0.31
14	0.39	0.02	0	0.06	0.31
15	0.39	0.02	0	0.06	0.31
16	0.39	0.02	0	0.06	0.31
17	0.38	0.02	0	0.06	0.31
18	0.38	0.02	0	0.06	0.31
19	0.38	0.02	0	0.06	0.31
20	0.38	0.02	0	0.06	0.3
21	0.38	0.02	0	0.06	0.3
22	0.38	0.02	0	0.06	0.3
23	0.38	0.02	0	0.06	0.3
24	0.38	0.02	0	0.06	0.3
25	0.38	0.02	0	0.06	0.3
26	0.38	0.02	0	0.06	0.3
27	0.37	0.02	0	0.05	0.3
28	0.37	0.02	0	0.05	0.3
29	0.37	0.02	0	0.05	0.3
30	0.37	0.02	0	0.05	0.3
31	0.37	0.02	0	0.05	0.3
32	0.37	0.02	0	0.05	0.3
33	0.37	0.02	0	0.05	0.29
34	0.37	0.02	0	0.05	0.29
35	0.37	0.02	0	0.05	0.29
36	0.37	0.02	0	0.05	0.29
37	0.36	0.02	0	0.05	0.29
38	0.36	0.02	0	0.05	0.29
39	0.36	0.02	0	0.05	0.29
40	0.36	0.02	0	0.05	0.29
41	0.36	0.02	0	0.05	0.29
42	0.36	0.02	0	0.05	0.29
43	0.36	0.02	0	0.05	0.29
44	0.36	0.02	0	0.05	0.29
45	0.36	0.02	0	0.05	0.28
46	0.36	0.02	0	0.05	0.28
47	0.35	0.02	0	0.05	0.28
48	0.35	0.02	0	0.05	0.28
49	0.35	0.02	0	0.05	0.28
50	0.35	0.02	0	0.05	0.28
51	0.35	0.01	0	0.05	0.28
52	0.35	0.01	0	0.05	0.28
53	0.35	0.01	0	0.05	0.28
54	0.35	0.01	0	0.05	0.28
55	0.35	0.01	0	0.05	0.28
56	0.35	0.01	0	0.05	0.28
57	0.34	0.01	0	0.05	0.28
58	0.34	0.01	0	0.05	0.27
59	0.34	0.01	0	0.05	0.27
60	0.34	0.01	0	0.05	0.27
61	0.34	0.01	0	0.05	0.27
62	0.34	0.01	0	0.05	0.27
63	0.34	0.01	0	0.05	0.27
64	0.34	0.01	0	0.05	0.27
65	0.34	0.01	0	0.05	0.27
66	0.34	0.01	0	0.05	0.27
67	0.33	0.01	0	0.05	0.27
68	0.33	0.01	0	0.05	0.27
69	0.33	0.01	0	0.05	0.27
70	0.33	0.01	0	0.05	0.26
71	0.33	0.01	0	0.05	0.26
72	0.33	0.01	0	0.05	0.26
73	0.33	0.01	0	0.05	0.26
74	0.33	0.01	0	0.05	0.26
75	0.33	0.01	0	0.05	0.26
76	0.33	0.01	0	0.05	0.26
77	0.32	0.01	0	0.04	0.26
78	0.32	0.01	0	0.04	0.26
79	0.32	0.01	0	0.04	0.26
80	0.32	0.01	0	0.04	0.26
81	0.32	0.01	0	0.04	0.26
82	0.32	0.01	0	0.04	0.26
83	0.32	0.01	0	0.04	0.25
84	0.32	0.01	0	0.04	0.25
85	0.32	0.01	0	0.04	0.25
86	0.32	0.01	0	0.04	0.25
87	0.31	0.01	0	0.04	0.25
88	0.31	0.01	0	0.04	0.25
89	0.31	0.01	0	0.04	0.25
90	0.31	0.01	0	0.04	0.25
91	0.31	0.01	0	0.04	0.25
92	0.31	0.01	0	0.04	0.25
93	0.31	0.01	0	0.04	0.25
94	0.31	0.01	0	0.04	0.25
95	0.31	0.01	0	0.04	0.24
96	0.31	0.01	0	0.04	0.24
97	0.3	0.01	0	0.04	0.24
98	0.3	0.01	0	0.04	0.24
99	0.3	0.01	0	0.04	0.24
100	0.3	0.01	0	0.04	0.24
