year	1	2	3	4	5
1	0	0	0	0.33	0.03
2	0	0	0	0.33	0.03
3	0	0	0	0.33	0.03
4	0	0	0	0.33	0.03
5	0	0	0	0.33	0.03
6	0	0	0	0.33	0.03
7	0	0	0	0.33	0.03
8	0	0	0	0.32	0.03
9	0	0	0	0.32	0.03
10	0	0	0	0.32	0.03
11	0	0	0	0.32	0.03
12	0	0	0	0.32	0.03
13	0	0	0	0.32	0.03
14	0	0	0	0.32	0.03
15	0	0	0	0.32	0.03
16	0	0	0	0.32	0.03
17	0	0	0	0.32	0.03
18	0	0	0	0.32	0.03
19	0	0	0	0.32	0.03
20	0	0	0	0.31	0.03
21	0	0	0	0.31	0.03
22	0	0	0	0.31	0.03
23	0	0	0	0.31	0.03
24	0	0	0	0.31	0.03
25	0	0	0	0.31	0.03
26	0	0	0	0.31	0.03
27	0	0	0	0.31	0.03
28	0	0	0	0.31	0.03
29	0	0	0	0.31	0.03
30	0	0	0	0.31	0.03
31	0	0	0	0.31	0.03
32	0	0	0	0.31	0.03
33	0	0	0	0.3	0.03
34	0	0	0	0.3	0.03
35	0	0	0	0.3	0.03
36	0	0	0	0.3	0.03
37	0	0	0	0.3	0.03
38	0	0	0	0.3	0.03
39	0	0	0	0.3	0.03
40	0	0	0	0.3	0.03
41	0	0	0	0.3	0.03
42	0	0	0	0.3	0.03
43	0	0	0	0.3	0.03
44	0	0	0	0.3	0.03
45	0	0	0	0.29	0.03
46	0	0	0	0.29	0.03
47	0	0	0	0.29	0.03
48	0	0	0	0.29	0.03
49	0	0	0	0.29	0.03
50	0	0	0	0.29	0.03
51	0	0	0	0.29	0.03
52	0	0	0	0.29	0.03
53	0	0	0	0.29	0.03
54	0	0	0	0.29	0.03
55	0	0	0	0.29	0.03
56	0	0	0	0.29	0.03
57	0	0	0	0.29	0.03
58	0	0	0	0.28	0.03
59	0	0	0	0.28	0.03
60	0	0	0	0.28	0.03
61	0	0	0	0.28	0.03
62	0	0	0	0.28	0.03
63	0	0	0	0.28	0.03
64	0	0	0	0.28	0.03
65	0	0	0	0.28	0.03
66	0	0	0	0.28	0.03
67	0	0	0	0.28	0.03
68	0	0	0	0.28	0.03
69	0	0	0	0.28	0.03
70	0	0	0	0.27	0.03
71	0	0	0	0.27	0.03
72	0	0	0	0.27	0.03
73	0	0	0	0.27	0.02
74	0	0	0	0.27	0.02
75	0	0	0	0.27	0.02
76	0	0	0	0.27	0.02
77	0	0	0	0.27	0.02
78	0	0	0	0.27	0.02
79	0	0	0	0.27	0.02
80	0	0	0	0.27	0.02
81	0	0	0	0.27	0.02
82	0	0	0	0.27	0.02
83	0	0	0	0.26	0.02
84	0	0	0	0.26	0.02
85	0	0	0	0.26	0.02
86	0	0	0	0.26	0.02
87	0	0	0	0.26	0.02
88	0	0	0	0.26	0.02
89	0	0	0	0.26	0.02
90	0	0	0	0.26	0.02
91	0	0	0	0.26	0.02
92	0	0	0	0.26	0.02
93	0	0	0	0.26	0.02
94	0	0	0	0.26	0.02
95	0	0	0	0.25	0.02
96	0	0	0	0.25	0.02
97	0	0	0	0.25	0.02
98	0	0	0	0.25	0.02
99	0	0	0	0.25	0.02
100	0	0	0	0.25	0.02
