year	1	2	3	4	5
1	0	0	0	0	0
2	0	0	0	0	0
3	0	0	0	0	0
4	0	0	0	0	0
5	0	0	0	0	0
6	0	0.04	0	0	0
7	0	0.08	0	0	0
8	0	0.12	0	0	0
9	0	0.16	0	0	0
10	0	0.2	0	0	0
11	0.00	0.24	0	0	0
12	0.00	0.28	0	0	0
13	0.00	0.32	0	0	0
14	0.00	0.36	0	0	0
15	0.00	0.4	0	0	0
16	0.00	0.44	0	0	0
17	0.00	0.48	0.04	0.04	0
18	0.00	0.52	0.09	0.09	0
19	0.00	0.56	0.13	0.13	0
20	0.00	0.6	0.17	0.17	0
21	0.00	0.6	0.21	0.21	0
22	0.00	0.6	0.26	0.26	0
23	0.00	0.6	0.30	0.30	0
24	0.00	0.6	0.34	0.34	0
25	0.00	0.6	0.39	0.39	0
26	0.6	0.6	0.43	0.43	0
27	0.6	0.58	0.47	0.47	0
28	0.6	0.56	0.51	0.51	0
29	0.6	0.54	0.56	0.56	0
30	0.6	0.52	0.60	0.60	0
31	0.59	0.50	0.6	0.60	0
32	0.58	0.48	0.60	0.60	0
33	0.56	0.45	0.59	0.59	0
34	0.55	0.43	0.59	0.59	0
35	0.54	0.41	0.58	0.58	0
36	0.53	0.39	0.58	0.58	0
37	0.51	0.37	0.57	0.57	0
38	0.50	0.35	0.57	0.57	0
39	0.49	0.33	0.56	0.56	0
40	0.48	0.31	0.56	0.56	0
41	0.46	0.29	0.55	0.55	0
42	0.45	0.27	0.54	0.54	0
43	0.44	0.25	0.54	0.54	0
44	0.43	0.23	0.53	0.53	0
45	0.41	0.20	0.53	0.53	0
46	0.40	0.18	0.52	0.52	0
47	0.39	0.16	0.52	0.52	0
48	0.38	0.14	0.51	0.51	0
49	0.36	0.12	0.51	0.51	0
50	0.35	0.10	0.5	0.5	0
